Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-03-06 13:30:00-05:00,68.7300033569336,68.7300033569336,67.25,67.31999969482422,0,0.0,0.0
2023-03-06 14:30:00-05:00,67.70999908447266,67.70999908447266,66.29000091552734,66.61000061035156,10288,0.0,0.0
2023-03-06 15:30:00-05:00,66.29000091552734,66.5199966430664,65.79620361328125,66.37999725341797,18668,0.0,0.0
2023-03-07 09:30:00-05:00,66.4800033569336,67.66999816894531,65.54000091552734,66.20999908447266,10664,0.0,0.0
2023-03-07 10:30:00-05:00,65.87999725341797,66.87999725341797,65.62999725341797,66.19999694824219,13207,0.0,0.0
2023-03-07 11:30:00-05:00,66.45500183105469,66.87000274658203,65.97000122070312,66.87000274658203,7781,0.0,0.0
2023-03-07 12:30:00-05:00,67.01000213623047,67.01000213623047,66.16999816894531,66.4800033569336,7656,0.0,0.0
2023-03-07 13:30:00-05:00,66.54000091552734,66.55000305175781,65.94000244140625,65.94000244140625,4940,0.0,0.0
2023-03-07 14:30:00-05:00,65.58999633789062,66.73999786376953,65.58999633789062,66.19999694824219,6581,0.0,0.0
2023-03-07 15:30:00-05:00,66.45999908447266,66.83999633789062,66.08999633789062,66.83000183105469,10286,0.0,0.0
2023-03-08 09:30:00-05:00,67.44000244140625,69.02510070800781,66.93000030517578,68.5199966430664,16214,0.0,0.0
2023-03-08 10:30:00-05:00,68.37999725341797,68.37999725341797,66.90499877929688,67.55500030517578,10288,0.0,0.0
2023-03-08 11:30:00-05:00,67.8949966430664,68.26000213623047,67.2699966430664,68.01000213623047,7309,0.0,0.0
2023-03-08 12:30:00-05:00,67.95500183105469,68.79000091552734,67.95500183105469,68.56500244140625,3808,0.0,0.0
2023-03-08 13:30:00-05:00,68.19999694824219,68.99500274658203,68.16999816894531,68.80000305175781,4395,0.0,0.0
2023-03-08 14:30:00-05:00,68.94999694824219,69.4000015258789,68.80999755859375,69.4000015258789,7714,0.0,0.0
2023-03-08 15:30:00-05:00,69.44499969482422,70.9800033569336,69.44499969482422,70.87000274658203,10831,0.0,0.0
2023-03-09 09:30:00-05:00,70.94000244140625,70.94999694824219,69.9000015258789,70.84950256347656,4279,0.0,0.0
2023-03-09 10:30:00-05:00,70.1500015258789,71.08000183105469,70.00550079345703,70.4800033569336,12180,0.0,0.0
2023-03-09 11:30:00-05:00,70.5199966430664,71.44999694824219,70.51000213623047,71.04000091552734,14174,0.0,0.0
2023-03-09 12:30:00-05:00,70.91000366210938,71.19000244140625,70.44999694824219,71.02999877929688,6370,0.0,0.0
2023-03-09 13:30:00-05:00,71.20999908447266,71.2300033569336,70.01499938964844,70.01499938964844,7734,0.0,0.0
2023-03-09 14:30:00-05:00,69.91999816894531,69.91999816894531,68.75,68.86000061035156,4022,0.0,0.0
2023-03-09 15:30:00-05:00,68.52680206298828,68.9000015258789,68.20999908447266,68.20999908447266,7360,0.0,0.0
2023-03-10 09:30:00-05:00,68.16999816894531,68.16999816894531,65.08000183105469,66.54499816894531,11720,0.0,0.0
2023-03-10 10:30:00-05:00,66.8499984741211,67.86000061035156,66.38500213623047,67.44969940185547,5075,0.0,0.0
2023-03-10 11:30:00-05:00,67.95999908447266,67.95999908447266,65.55000305175781,66.08999633789062,5812,0.0,0.0
2023-03-10 12:30:00-05:00,65.86000061035156,66.37999725341797,64.18399810791016,64.30000305175781,18236,0.0,0.0
2023-03-10 13:30:00-05:00,63.939998626708984,65.20999908447266,63.209999084472656,64.12000274658203,11406,0.0,0.0
2023-03-10 14:30:00-05:00,64.5999984741211,65.98999786376953,64.38999938964844,64.69999694824219,25052,0.0,0.0
2023-03-10 15:30:00-05:00,64.41999816894531,65.05999755859375,64.06999969482422,64.73999786376953,13727,0.0,0.0
2023-03-13 09:30:00-04:00,63.209999084472656,65.0199966430664,62.61000061035156,64.16999816894531,12867,0.0,0.0
2023-03-13 10:30:00-04:00,63.83000183105469,65.0,63.47999954223633,64.8499984741211,26384,0.0,0.0
2023-03-13 11:30:00-04:00,64.69999694824219,65.30000305175781,64.58999633789062,64.73999786376953,5158,0.0,0.0
2023-03-13 12:30:00-04:00,64.3499984741211,64.5790023803711,63.2400016784668,64.5790023803711,4037,0.0,0.0
2023-03-13 13:30:00-04:00,64.54000091552734,65.08000183105469,64.3550033569336,64.83000183105469,3026,0.0,0.0
2023-03-13 14:30:00-04:00,64.80000305175781,64.80000305175781,62.970001220703125,63.0,8538,0.0,0.0
2023-03-13 15:30:00-04:00,63.04499816894531,64.30000305175781,63.04499816894531,63.58000183105469,11418,0.0,0.0
2023-03-14 09:30:00-04:00,65.6500015258789,66.4800033569336,64.88999938964844,66.23999786376953,0,0.0,0.0
2023-03-14 10:30:00-04:00,66.55000305175781,66.87999725341797,65.80000305175781,66.2300033569336,5982,0.0,0.0
2023-03-14 11:30:00-04:00,65.8499984741211,66.0199966430664,65.48999786376953,65.50499725341797,3601,0.0,0.0
2023-03-14 12:30:00-04:00,65.3499984741211,65.5199966430664,64.0,64.80000305175781,11738,0.0,0.0
2023-03-14 13:30:00-04:00,64.73500061035156,64.73500061035156,63.810001373291016,64.36000061035156,3735,0.0,0.0
2023-03-14 14:30:00-04:00,64.54000091552734,64.91999816894531,63.79999923706055,64.16000366210938,6145,0.0,0.0
2023-03-14 15:30:00-04:00,64.13999938964844,65.16999816894531,64.13999938964844,64.66000366210938,14797,0.0,0.0
2023-03-15 09:30:00-04:00,63.209999084472656,67.12000274658203,63.20000076293945,67.12000274658203,21010,0.0,0.0
