Date,Close,Dividends,High,Low,Open,Volume,Stock Splits
2022-11-21 00:00:00-05:00,,,,,,0,0.02
2024-03-06 00:00:00-05:00,0.01140000019222498,0.0,0.01590000092983246,0.010999999940395355,0.012199999764561653,38251,0.0
