Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-30 00:00:00-04:00,6.78000020980835,7.059999942779541,6.650000095367432,6.650000095367432,5000,0.0,0.0
2019-05-01 00:00:00-04:00,6.997000217437744,7.03000020980835,6.683000087738037,6.849999904632568,3500,0.0,0.0
2019-05-02 00:00:00-04:00,6.900000095367432,6.900000095367432,6.650000095367432,6.900000095367432,4100,0.0,0.0
2019-05-03 00:00:00-04:00,6.77400016784668,6.880000114440918,6.650000095367432,6.748000144958496,8400,0.0,0.0
2019-05-06 00:00:00-04:00,6.659999847412109,6.860000133514404,6.650000095367432,6.650000095367432,10000,0.0,0.0
2019-05-07 00:00:00-04:00,6.550000190734863,6.559999942779541,6.150000095367432,6.2270002365112305,23600,0.0,0.0
2019-05-08 00:00:00-04:00,6.070000171661377,6.079999923706055,5.320000171661377,5.599999904632568,50500,0.0,0.0
2019-05-09 00:00:00-04:00,5.533999919891357,5.701000213623047,5.533999919891357,5.679999828338623,6100,0.0,0.0
2019-05-10 00:00:00-04:00,5.531000137329102,5.739999771118164,5.53000020980835,5.550000190734863,8900,0.0,0.0
2019-05-13 00:00:00-04:00,5.5,5.663000106811523,5.5,5.619999885559082,13200,0.0,0.0
2019-05-14 00:00:00-04:00,5.610000133514404,5.630000114440918,5.519999980926514,5.599999904632568,4700,0.0,0.0
2019-05-15 00:00:00-04:00,5.550000190734863,5.670000076293945,5.300000190734863,5.570000171661377,6300,0.0,0.0
2019-05-16 00:00:00-04:00,5.300000190734863,5.650000095367432,4.940000057220459,5.610000133514404,12500,0.0,0.0
2019-05-17 00:00:00-04:00,5.329999923706055,5.485000133514404,5.070000171661377,5.329999923706055,1900,0.0,0.0
2019-05-20 00:00:00-04:00,5.309999942779541,5.309999942779541,4.940999984741211,5.079999923706055,5500,0.0,0.0
2019-05-21 00:00:00-04:00,5.025000095367432,5.025000095367432,4.711999893188477,4.929999828338623,12000,0.0,0.0
2019-05-22 00:00:00-04:00,4.78000020980835,5.420000076293945,4.755000114440918,5.420000076293945,18000,0.0,0.0
2019-05-23 00:00:00-04:00,5.090000152587891,5.980000019073486,5.090000152587891,5.710000038146973,17100,0.0,0.0
2019-05-24 00:00:00-04:00,5.730000019073486,5.889999866485596,5.5,5.820000171661377,17500,0.0,0.0
2019-05-28 00:00:00-04:00,5.579999923706055,5.599999904632568,5.300000190734863,5.579999923706055,6700,0.0,0.0
2019-05-29 00:00:00-04:00,5.809999942779541,5.980000019073486,5.809999942779541,5.980000019073486,1300,0.0,0.0
2019-05-30 00:00:00-04:00,6.039999961853027,6.300000190734863,5.579999923706055,5.809999942779541,11500,0.0,0.0
2019-05-31 00:00:00-04:00,5.739999771118164,5.949999809265137,5.739999771118164,5.940000057220459,3400,0.0,0.0
2019-06-03 00:00:00-04:00,5.699999809265137,5.889999866485596,5.679999828338623,5.815000057220459,14300,0.0,0.0
2019-06-04 00:00:00-04:00,5.71999979019165,6.251999855041504,5.614999771118164,6.239999771118164,4600,0.0,0.0
2019-06-05 00:00:00-04:00,6.349999904632568,6.349999904632568,5.679999828338623,6.099999904632568,7000,0.0,0.0
2019-06-06 00:00:00-04:00,5.96999979019165,5.96999979019165,5.880000114440918,5.900000095367432,2700,0.0,0.0
2019-06-07 00:00:00-04:00,5.718999862670898,6.099999904632568,5.570000171661377,6.099999904632568,11000,0.0,0.0
2019-06-10 00:00:00-04:00,5.849999904632568,6.039999961853027,5.833000183105469,6.039999961853027,5500,0.0,0.0
2019-06-11 00:00:00-04:00,5.960000038146973,6.139999866485596,5.78000020980835,6.139999866485596,3100,0.0,0.0
2019-06-12 00:00:00-04:00,5.960000038146973,6.0,5.940000057220459,5.989999771118164,7300,0.0,0.0
2019-06-13 00:00:00-04:00,6.329999923706055,6.329999923706055,5.820000171661377,5.900000095367432,8000,0.0,0.0
2019-06-14 00:00:00-04:00,5.619999885559082,6.139999866485596,5.519999980926514,6.072000026702881,4100,0.0,0.0
2019-06-17 00:00:00-04:00,6.090000152587891,6.090000152587891,5.71999979019165,5.789000034332275,14300,0.0,0.0
2019-06-18 00:00:00-04:00,5.769999980926514,5.989999771118164,5.769999980926514,5.8420000076293945,4300,0.0,0.0
2019-06-19 00:00:00-04:00,5.929999828338623,5.940000057220459,5.25,5.25,20100,0.0,0.0
2019-06-20 00:00:00-04:00,5.449999809265137,5.769999980926514,5.276000022888184,5.480999946594238,7000,0.0,0.0
